,CLOUD_COVER,CLOUD_COVER_LAND,DATE_ACQUIRED,UTM_ZONE,WRS_PATH,WRS_ROW,Systemindex
304,10.92,10.92,2018/10/16,47,132,40,LC08_132040_20181016
305,13.05,13.05,2018/11/1,47,132,40,LC08_132040_20181101
306,59.74,59.74,2018/11/17,47,132,40,LC08_132040_20181117
307,7.13,7.13,2018/12/3,47,132,40,LC08_132040_20181203
308,73.29,73.29,2018/12/19,47,132,40,LC08_132040_20181219
309,46.52,46.52,2019/1/4,47,132,40,LC08_132040_20190104
310,1.96,1.96,2019/1/20,47,132,40,LC08_132040_20190120
311,5.23,5.23,2019/2/5,47,132,40,LC08_132040_20190205
312,5.05,5.05,2019/2/21,47,132,40,LC08_132040_20190221
313,8.18,8.18,2019/3/9,47,132,40,LC08_132040_20190309
314,3.28,3.28,2019/3/25,47,132,40,LC08_132040_20190325
315,62.08,62.08,2019/4/10,47,132,40,LC08_132040_20190410
316,5.1,5.1,2019/4/26,47,132,40,LC08_132040_20190426
317,91.63,91.63,2019/5/12,47,132,40,LC08_132040_20190512
318,32.93,32.93,2019/5/28,47,132,40,LC08_132040_20190528
319,60.5,60.5,2019/6/13,47,132,40,LC08_132040_20190613
320,72.29,72.29,2019/6/29,47,132,40,LC08_132040_20190629
321,5.2,5.2,2019/8/16,47,132,40,LC08_132040_20190816
322,62.44,62.44,2019/9/1,47,132,40,LC08_132040_20190901
323,86.32,86.32,2019/9/17,47,132,40,LC08_132040_20190917
324,27.44,27.44,2019/10/3,47,132,40,LC08_132040_20191003
325,47.42,47.42,2019/10/19,47,132,40,LC08_132040_20191019
326,26.93,26.93,2019/11/4,47,132,40,LC08_132040_20191104
327,9.35,9.35,2019/11/20,47,132,40,LC08_132040_20191120
328,2.07,2.07,2019/12/6,47,132,40,LC08_132040_20191206
329,21.61,21.61,2019/12/22,47,132,40,LC08_132040_20191222
330,27.14,27.14,2020/1/7,47,132,40,LC08_132040_20200107
331,67.09,67.09,2020/1/23,47,132,40,LC08_132040_20200123
332,15.98,15.98,2020/2/8,47,132,40,LC08_132040_20200208
333,25.18,25.18,2020/2/24,47,132,40,LC08_132040_20200224
334,60.99,60.99,2020/3/11,47,132,40,LC08_132040_20200311
335,2.92,2.92,2020/3/27,47,132,40,LC08_132040_20200327
336,82.59,82.59,2020/4/12,47,132,40,LC08_132040_20200412
337,79.4,79.4,2020/4/28,47,132,40,LC08_132040_20200428
338,75.89,75.89,2020/5/14,47,132,40,LC08_132040_20200514
339,24.53,24.53,2020/5/30,47,132,40,LC08_132040_20200530
340,88.14,88.14,2020/7/1,47,132,40,LC08_132040_20200701
341,84.38,84.38,2020/8/2,47,132,40,LC08_132040_20200802
342,48.69,48.69,2020/9/3,47,132,40,LC08_132040_20200903
343,80.69,80.69,2020/10/5,47,132,40,LC08_132040_20201005
344,70.56,70.56,2020/10/21,47,132,40,LC08_132040_20201021
345,69.92,69.92,2020/11/22,47,132,40,LC08_132040_20201122
346,5.33,5.33,2020/12/8,47,132,40,LC08_132040_20201208
347,0.55,0.55,2020/12/24,47,132,40,LC08_132040_20201224
348,0.64,0.64,2021/1/9,47,132,40,LC08_132040_20210109
349,1.97,1.97,2021/1/25,47,132,40,LC08_132040_20210125
350,14.1,14.1,2021/2/10,47,132,40,LC08_132040_20210210
351,1.48,1.48,2021/2/26,47,132,40,LC08_132040_20210226
352,74.58,74.58,2021/3/14,47,132,40,LC08_132040_20210314
353,25.85,25.85,2021/3/30,47,132,40,LC08_132040_20210330
354,8.17,8.17,2021/4/15,47,132,40,LC08_132040_20210415
355,86.45,86.45,2021/5/1,47,132,40,LC08_132040_20210501
356,46.24,46.24,2021/5/17,47,132,40,LC08_132040_20210517
357,21.59,21.59,2021/6/2,47,132,40,LC08_132040_20210602
358,80.07,80.07,2021/6/18,47,132,40,LC08_132040_20210618
359,62.72,62.72,2021/7/4,47,132,40,LC08_132040_20210704
360,43.33,43.33,2021/7/20,47,132,40,LC08_132040_20210720
361,28.87,28.87,2021/8/5,47,132,40,LC08_132040_20210805
362,78.4,78.4,2021/8/21,47,132,40,LC08_132040_20210821
363,70.73,70.73,2021/9/6,47,132,40,LC08_132040_20210906
364,63.79,63.79,2021/9/22,47,132,40,LC08_132040_20210922
365,24.66,24.66,2021/10/8,47,132,40,LC08_132040_20211008
366,6.89,6.89,2021/10/24,47,132,40,LC08_132040_20211024
367,0.9,0.9,2021/11/9,47,132,40,LC08_132040_20211109
368,73.5,73.5,2021/11/25,47,132,40,LC08_132040_20211125
369,64.56,64.56,2021/12/11,47,132,40,LC08_132040_20211211
370,36.92,36.92,2021/12/27,47,132,40,LC08_132040_20211227
371,39.82,39.82,2022/1/12,47,132,40,LC08_132040_20220112
372,76.2,76.2,2022/1/28,47,132,40,LC08_132040_20220128
373,1.27,1.27,2022/2/13,47,132,40,LC08_132040_20220213
374,10.53,10.53,2022/3/1,47,132,40,LC08_132040_20220301
375,2.83,2.83,2022/3/17,47,132,40,LC08_132040_20220317
376,70.09,70.09,2022/4/2,47,132,40,LC08_132040_20220402
377,81.59,81.59,2022/5/4,47,132,40,LC08_132040_20220504
378,79.11,79.11,2022/5/20,47,132,40,LC08_132040_20220520
379,82.7,82.7,2022/6/5,47,132,40,LC08_132040_20220605
380,30.48,30.48,2022/6/21,47,132,40,LC08_132040_20220621
381,13.99,13.99,2022/7/7,47,132,40,LC08_132040_20220707
382,53.89,53.89,2022/7/23,47,132,40,LC08_132040_20220723
383,30.44,30.44,2022/8/8,47,132,40,LC08_132040_20220808
384,67.68,67.68,2022/8/24,47,132,40,LC08_132040_20220824
