,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,Systemindex
5314,34.8087,34.8087,155.099506355,39.8209099047,20181010T035649_20181010T040425_T47RMP
5315,21.1545,21.1545,155.451474789,40.6642424729,20181010T035649_20181010T040425_T47RMQ
5316,61.9792,61.9792,156.233197278,38.6103529146,20181010T035649_20181010T040425_T47RNN
5317,47.788,47.788,156.595830397,39.4569882327,20181010T035649_20181010T040425_T47RNP
5318,58.8061,58.8061,152.415470267,37.1774175404,20181011T041701_20181011T042321_T46RDQ
5319,37.7891,37.7891,152.858310901,38.0059158181,20181011T041701_20181011T042321_T46RDR
5320,13.4382,13.4382,153.278644083,38.8368893697,20181011T041701_20181011T042321_T46RDS
5321,99.5451,99.5451,153.91369732,36.7760033512,20181011T041701_20181011T042321_T46REQ
5322,96.5954,96.5954,154.347126224,37.6105071697,20181011T041701_20181011T042321_T46RER
5323,95.4845,95.4845,154.758882831,38.4472132793,20181011T041701_20181011T042321_T46RES
5324,72.3649,72.3649,155.150077054,39.2854354349,20181011T041701_20181011T042321_T46RET
5325,54.7511,54.7511,155.522374261,40.1260215514,20181011T041701_20181011T042321_T46REU
5326,43.8473,43.8473,155.876612875,40.9683301631,20181011T041701_20181011T042321_T46REV
5327,97.5683,97.5683,155.859254871,37.229430779,20181011T041701_20181011T042321_T46RFR
5328,95.6692,95.6692,156.261124982,38.0715321068,20181011T041701_20181011T042321_T46RFS
5329,96.5055,96.5055,156.643437069,38.9148763185,20181011T041701_20181011T042321_T46RFT
5330,95.4488,95.4488,157.007799718,39.760341709,20181011T041701_20181011T042321_T46RFU
5331,90.8807,90.8807,157.355123633,40.6072804172,20181011T041701_20181011T042321_T46RFV
5332,67.9169,67.9169,157.392995808,36.8634441232,20181011T041701_20181011T042321_T46RGR
5333,87.0924,87.0924,157.783652244,37.7105762206,20181011T041701_20181011T042321_T46RGS
5334,98.1857,98.1857,158.155868283,38.5586806202,20181011T041701_20181011T042321_T46RGT
5335,93.453,93.453,158.511170057,39.408667917,20181011T041701_20181011T042321_T46RGU
